,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,MW,HeavyAtomMolWt,LogP,MolMR,NumHDonors,NumHAcceptors,NumAtoms,AR,TPSA,RB,bioactivity_class
4385,CHEMBL4105127,CCCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O,IC50,1145.0,nM,487.96900000000016,465.79300000000023,2.2187000000000006,123.01930000000003,3.0,10.0,33.0,3.0,122.39000000000001,5.0,inactive
4386,CHEMBL4092411,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@@H]1O[C@H](C(=O)OC)[C@@H](O)[C@H]1O,IC50,396.0,nM,449.87600000000015,433.7480000000003,0.7748999999999997,108.1183,3.0,11.0,30.0,3.0,131.62,3.0,inactive
4387,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,IC50,274.0,nM,303.35800000000006,282.19,1.8677,80.34150000000005,0.0,5.0,22.0,1.0,55.84,3.0,inactive
4388,CHEMBL781,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,IC50,13.0,nM,284.74600000000004,271.642,2.6092000000000004,79.00280000000002,1.0,3.0,20.0,2.0,35.830000000000005,1.0,active
4389,CHEMBL1373,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,IC50,11500.0,nM,273.357,258.23699999999997,2.01,76.93080000000003,1.0,2.0,19.0,2.0,66.15,5.0,inactive
4390,CHEMBL4067086,O=c1[nH]nc(C[S+]([O-])C(c2ccccc2)c2ccccc2)s1,IC50,38100.0,nM,330.434,316.322,2.869700000000001,89.30810000000004,1.0,4.0,22.0,3.0,68.81,5.0,inactive
4391,CHEMBL4085703,COC1NN=C(C[S+]([O-])C(c2ccccc2)c2ccccc2)S1,IC50,107600.0,nM,346.47700000000003,328.333,3.1046000000000014,96.69510000000004,1.0,5.0,23.0,2.0,56.67999999999999,6.0,inactive
4392,CHEMBL4103476,[O-][S+](Cc1nc(C(F)(F)F)no1)C(c1ccccc1)c1ccccc1,IC50,43700.0,nM,366.36400000000003,353.26000000000016,4.126700000000002,85.87340000000003,0.0,4.0,25.0,3.0,61.980000000000004,5.0,inactive
4393,CHEMBL4085551,CC(C)c1nnsc1C[S+]([O-])C(c1ccccc1)c1ccccc1,IC50,69100.0,nM,356.5160000000001,336.3560000000001,4.699800000000004,100.57140000000003,0.0,4.0,24.0,3.0,48.84,6.0,inactive
4394,CHEMBL4077697,[O-][S+](Cc1ccncc1)C(c1ccccc1)c1ccccc1,IC50,63500.0,nM,307.418,290.282,4.119900000000003,90.81040000000004,0.0,2.0,22.0,3.0,35.95,5.0,inactive
4395,CHEMBL4074275,Cc1noc(C[S+]([O-])C(c2ccccc2)c2ccccc2)n1,IC50,56700.0,nM,312.39400000000006,296.266,3.4163200000000016,85.60840000000005,0.0,4.0,22.0,3.0,61.980000000000004,5.0,inactive
4396,CHEMBL4077643,Cc1nc(O)cc(C[S+]([O-])C(c2ccccc2)c2ccccc2)n1,IC50,3100.0,nM,338.432,320.28800000000007,3.528920000000002,95.00720000000003,1.0,4.0,24.0,3.0,69.07000000000001,5.0,inactive
4397,CHEMBL4065658,[O-][S+](Cc1cc(C2CC2)on1)C(c1ccccc1)c1ccccc1,IC50,38600.0,nM,337.444,318.2920000000001,4.590300000000004,95.05140000000003,0.0,3.0,24.0,3.0,49.09,6.0,inactive
4398,CHEMBL4070266,[O-][S+](Cc1nc(O)cc(C(F)(F)F)n1)C(c1ccccc1)c1ccccc1,IC50,40400.0,nM,392.40200000000004,377.2820000000002,4.239300000000003,95.27220000000001,1.0,4.0,27.0,3.0,69.07000000000001,5.0,inactive
4399,CHEMBL4092312,Cc1cc(O)nc(C[S+]([O-])C(c2ccccc2)c2ccccc2)n1,IC50,109000.0,nM,338.4320000000001,320.28800000000007,3.528920000000002,95.00720000000003,1.0,4.0,24.0,3.0,69.07000000000001,5.0,inactive
4400,CHEMBL4071524,COc1cc(C)nc(C[S+]([O-])C(c2ccccc2)c2ccccc2)n1,IC50,90500.0,nM,352.45900000000006,332.2990000000001,3.831920000000003,99.89440000000003,0.0,4.0,25.0,3.0,58.07,6.0,inactive
4401,CHEMBL4105083,Cc1cc(C[S+]([O-])C(c2ccccc2)c2ccccc2)nc(C)n1,IC50,82600.0,nM,336.4600000000001,316.3,4.131740000000003,98.07940000000005,0.0,3.0,24.0,3.0,48.84,5.0,inactive
4402,CHEMBL4080841,Cc1cnc(C[S+]([O-])C(c2ccccc2)c2ccccc2)nc1,IC50,155700.0,nM,322.43300000000005,304.289,3.8233200000000025,93.34240000000004,0.0,3.0,23.0,3.0,48.84,5.0,inactive
4403,CHEMBL4067474,[O-][S+](Cc1ccsc1)C(c1ccccc1)c1ccccc1,IC50,3000.0,nM,312.459,296.331,4.786400000000003,90.89240000000004,0.0,2.0,21.0,3.0,23.06,5.0,inactive
4404,CHEMBL4088715,[O-][S+](Cc1ccsc1Br)C(c1ccccc1)c1ccccc1,IC50,29300.0,nM,391.355,376.23500000000024,5.548900000000005,98.59240000000001,0.0,2.0,22.0,3.0,23.06,5.0,inactive
4405,CHEMBL4078378,[O-][S+](Cc1sccc1Cl)C(c1ccccc1)c1ccccc1,IC50,4900.0,nM,346.90400000000005,331.7840000000001,5.439800000000004,95.90240000000001,0.0,2.0,22.0,3.0,23.06,5.0,inactive
4406,CHEMBL4096421,Cc1scc(C[S+]([O-])C(c2ccccc2)c2ccccc2)c1C,IC50,283600.0,nM,340.5130000000001,320.35300000000007,5.403240000000004,100.36640000000004,0.0,2.0,23.0,3.0,23.06,5.0,inactive
