,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,AR,RB,bioactivity_class,bioactivity_class_encoded
5433,CHEMBL4083969,Clc1ccccc1-c1nnnn1CCCN1CCC(Cc2ccccc2)CC1,Inhibition,155.0,%,395.93800000000016,4.338300000000004,0.0,5.0,3.0,7.0,inactive,1
5434,CHEMBL4101959,Clc1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1,Inhibition,155.0,%,395.9380000000001,4.338300000000004,0.0,5.0,3.0,7.0,inactive,1
5435,CHEMBL4073602,Clc1ccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)cc1,Inhibition,155.0,%,395.9380000000001,4.338300000000004,0.0,5.0,3.0,7.0,inactive,1
5436,CHEMBL4094228,Brc1ccccc1-c1nnnn1CCCN1CCC(Cc2ccccc2)CC1,Inhibition,155.0,%,440.3890000000003,4.447400000000004,0.0,5.0,3.0,7.0,inactive,1
5437,CHEMBL4081927,Brc1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1,Inhibition,155.0,%,440.3890000000002,4.447400000000004,0.0,5.0,3.0,7.0,inactive,1
5438,CHEMBL4060019,Clc1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1Cl,Inhibition,155.0,%,430.38300000000015,4.991700000000005,0.0,5.0,3.0,7.0,inactive,1
5439,CHEMBL4071385,c1ccc(CC2CCN(CCCn3nnnc3-c3cccc4ccccc34)CC2)cc1,Inhibition,155.0,%,411.55300000000017,4.838100000000004,0.0,5.0,4.0,7.0,inactive,1
5440,CHEMBL2386849,Cc1cc(Oc2cncc(F)c2)cc(C(=O)Nc2ccc(F)cn2)n1,Inhibition,186.0,%,342.305,3.5028200000000016,1.0,5.0,3.0,4.0,active,0
5441,CHEMBL4089114,O=C(Nc1ccc(F)cn1)c1cc(Oc2cncc(F)c2)cn2ncnc12,Inhibition,189.0,%,368.30300000000005,2.8421000000000003,1.0,7.0,4.0,4.0,active,0
5442,CHEMBL4071447,O=C(Nc1ccc(F)cn1)c1cc(Oc2cncc(F)c2)cn2cnnc12,Inhibition,191.0,%,368.30300000000005,2.8421000000000003,1.0,7.0,4.0,4.0,active,0
